Exchange Date,Close,Open,Low,High,Volume
2/17/2011,509.83,510.69,505.5,511.04,35957000
2/16/2011,513.11,519.55,513.11,519.7,30003000
2/15/2011,517.87,509.28,509.28,517.98,34375000
2/14/2011,514.05,520.73,514.05,522.37,35497000
2/11/2011,519.98,522.79,516.4,522.79,35607000
2/10/2011,520.23,523.25,519.51,526.57,31575000
2/9/2011,522.59,528.69,522.49,529.2,31773000
2/8/2011,520.69,515.7,515.61,521.49,24858000
1/28/2011,510.6,502.77,502.75,511.91,37629000
1/27/2011,502.68,501.25,498.11,503.43,30029000
1/26/2011,501.25,498.24,498.24,502.02,22038000
1/25/2011,501.97,504.06,501.87,506.12,39692000
1/24/2011,509.88,525.7,509.88,525.7,38333000
1/21/2011,519.5,518.32,518.24,521.22,46987000
1/20/2011,511.98,510.17,510.17,514.05,41206000
1/19/2011,505.91,504.93,503.1,507.89,42887000
1/18/2011,497.43,497.05,496,501.28,40801000
1/17/2011,495.16,492.89,492.37,498.49,43805000
1/14/2011,489.22,487.06,486.54,490.11,41503000
1/13/2011,484.12,479.95,479.6,485.02,29069000
1/12/2011,478.45,480.82,477.49,481.65,41208000
1/11/2011,477.44,477.97,475.48,480.79,35421000
1/10/2011,480.55,483.71,479.58,485.06,33804000
1/7/2011,481.86,482.77,481.35,483.86,31359000
1/6/2011,482.31,480.86,479.87,483.16,29489000
1/5/2011,481.91,487.94,481.91,487.94,40580000
1/4/2011,485.97,485.72,481.66,487.83,29600000
12/31/2010,484.66,480.93,480.1,485.22,60094000
12/30/2010,481.4,477.2,477.2,481.51,57066000
12/29/2010,478.75,480.53,476.53,481.17,62369000
12/28/2010,479.33,471.73,471.73,479.33,89111000
12/27/2010,473.05,475.64,469.64,476.05,39247000
12/24/2010,472.76,474.16,470.81,477.81,55816000
12/23/2010,475.41,481.71,475.41,481.71,57222000
12/22/2010,481.53,488.31,481.53,488.69,61508000
12/21/2010,481.78,471.17,470.14,483.43,68326000
12/20/2010,478.29,488.3,478.29,488.3,66941000
12/17/2010,485.29,483,476.27,485.29,74147000
12/16/2010,480.21,484.81,479.68,489.7,80791000
12/15/2010,493.47,492.8,491.51,497.09,95677000
12/14/2010,489.65,493.72,480.64,496.42,134954000
12/13/2010,490.22,485.82,485.73,490.3,81975000
12/10/2010,473.06,464.81,462.39,473.06,94107000
12/9/2010,460.45,450.59,450.16,460.79,60569000
12/8/2010,452.83,459.41,452.55,461.6,72502000
12/7/2010,460.76,461.71,460.76,466.1,85025000
12/6/2010,465.56,467.3,462.87,468.78,96779000
12/3/2010,464.35,462.3,462.3,467.2,71912000
12/2/2010,457.42,450.09,448.23,457.42,66063000
12/1/2010,449.93,451.02,448.13,453.55,49057000
11/30/2010,451.59,450.04,450.04,456.3,66969000
11/29/2010,446.36,437.92,436.38,446.36,45422000
11/26/2010,439.94,441.88,437.29,443.68,45398000
11/25/2010,439.85,434.7,434.7,440.19,34208000
11/24/2010,434.48,430.73,427.99,434.48,30930000
11/23/2010,430.81,426.19,426.03,430.81,24956000
11/22/2010,426.19,422.71,419.98,426.19,30139000
11/19/2010,426.51,434.39,426.51,434.42,27709000
11/18/2010,430.72,427.74,427.74,432.05,32415000
